# sample data for use with the plot_3vars.py file
Problem Size,Direct,Vector,Indirect

8388608,0.060235,0.01693,0.0007194
16777216,0.060324,0.017017,0.00041868
33554432,0.060191,0.01636,0.0001656
67108864,0.06034,0.01683172385,0.0003798
134217728,0.06017,0.01691,0.001210
268435456,0.060191,0.017036,0.00081284
